epoch,valid_acc,test_acc,train_losses
1,0.8622000000000001,0.8497,7556.5869140625
2,0.8532000000000001,0.8478,7406.69970703125
3,0.8731,0.8653,7343.0634765625
4,0.8771,0.8699,7291.5537109375
5,0.8855,0.8786,7244.1611328125
6,0.8876000000000001,0.877,7202.5830078125
7,0.876,0.868,7163.65478515625
8,0.8841,0.879,7126.75048828125
9,0.8841,0.8773,7091.310546875
10,0.8817,0.8743,7057.0595703125
11,0.8957999999999999,0.8867999999999999,7023.2421875
12,0.891,0.8871,6989.02392578125
13,0.891,0.8872000000000001,6956.55810546875
14,0.8919,0.884,6925.54248046875
15,0.8907,0.8856,6894.6044921875
16,0.8881,0.88,6864.4638671875
17,0.8907,0.8857,6833.47119140625
18,0.8892,0.8836,6805.0234375
19,0.8929,0.8913,6774.46044921875
20,0.8943,0.8921,6745.9638671875
21,0.8902,0.8864,6718.859375
22,0.8934,0.8867,6688.64892578125
23,0.893,0.8882000000000001,6660.3310546875
24,0.8897999999999999,0.8861,6635.68603515625
25,0.8997999999999999,0.8909,6607.37548828125
26,0.8932,0.8859,6581.22998046875
27,0.8922,0.8897999999999999,6555.01611328125
28,0.8957999999999999,0.8869,6527.328125
29,0.89,0.8857,6502.9453125
30,0.8881,0.8867,6477.84765625
31,0.8974,0.8915,6452.51025390625
32,0.8954,0.8907,6427.9892578125
33,0.8976000000000001,0.8925,6403.9912109375
34,0.8924,0.8875,6379.31640625
35,0.8926000000000001,0.8854,6356.42041015625
36,0.898,0.8932,6331.76025390625
37,0.8877,0.8863,6308.93994140625
38,0.8903,0.8863,6287.16845703125
39,0.8979,0.8923,6265.0703125
40,0.8932,0.8889,6243.11376953125
