t,kl,tr_elbo,tr_acc,tr_ll,tr_time,te_acc_mcvi,te_time_mcvi,te_acc_dvi,te_acc_samples,te_time_dvi
0,0.0,-0.2028675078789393,0.94145,-0.2028675078789393,188.62501406669617,0.9686501597444089,180.06792092323303,0.9681509584664537,0.8521365814696485,17.637287855148315
1,0.0,-0.09143628832995891,0.9730333333333333,-0.09143628832995891,184.06845617294312,0.974341054313099,171.92815113067627,0.974341054313099,0.8483426517571885,17.662889003753662
2,0.0,-0.06423355702757835,0.9816333333333334,-0.06423355702757835,187.67379188537598,0.9747404153354633,178.65791988372803,0.9748402555910544,0.8324680511182109,17.78678011894226
3,0.0,-0.04983112460275491,0.9853666666666666,-0.04983112460275491,186.7195451259613,0.9774361022364217,177.59487104415894,0.9778354632587859,0.8409544728434505,17.74224305152893
4,0.0,-0.04273679263194402,0.9871666666666666,-0.04273679263194402,185.43667793273926,0.9757388178913738,179.0666480064392,0.9760383386581469,0.8266773162939297,17.601303100585938
5,0.0,-0.03406887998481591,0.9899,-0.03406887998481591,186.61470293998718,0.9749400958466453,178.95341801643372,0.9756389776357828,0.8333666134185304,17.664907932281494
6,0.0,-0.0315956707795461,0.9904,-0.0315956707795461,190.121187210083,0.9781349840255591,180.1791980266571,0.9786341853035144,0.8325678913738019,17.681457042694092
7,0.0,-0.025555768046776454,0.9925166666666667,-0.025555768046776454,186.8606309890747,0.9729432907348243,178.63717699050903,0.9735423322683706,0.8388578274760383,17.844681978225708
8,0.0,-0.02303179385860761,0.9931666666666666,-0.02303179385860761,215.58851504325867,0.9766373801916933,197.94596910476685,0.9767372204472844,0.8240814696485623,19.455496311187744
9,0.0,-0.02173271083285411,0.9937166666666667,-0.02173271083285411,215.47901487350464,0.9760383386581469,193.20782685279846,0.9757388178913738,0.81060303514377,20.170346975326538
10,0.0,-0.02288594484180212,0.9938833333333333,-0.02288594484180212,209.59924006462097,0.9795327476038339,188.8841757774353,0.9792332268370607,0.8160942492012779,18.536773920059204
11,0.0,-0.018622407567501068,0.99505,-0.018622407567501068,208.03331589698792,0.9745407348242812,191.59827375411987,0.9751397763578274,0.8223841853035144,18.862196922302246
12,0.0,-0.019148558631539345,0.9950166666666667,-0.019148558631539345,211.56662225723267,0.9786341853035144,189.8995659351349,0.9784345047923323,0.805111821086262,19.562883138656616
13,0.0,-0.01970160893201828,0.99495,-0.01970160893201828,206.90957593917847,0.9778354632587859,191.74645709991455,0.9778354632587859,0.8125,19.483205795288086
14,0.0,-0.017287060700853667,0.9954166666666666,-0.017287060700853667,208.78668308258057,0.9763378594249201,192.59191489219666,0.976138178913738,0.8140974440894568,20.994904041290283
15,0.0,-0.01790299916646133,0.9956166666666667,-0.01790299916646133,208.49109315872192,0.9729432907348243,189.58174085617065,0.9731429712460063,0.7957268370607029,19.698764085769653
