Namespace(anneal_updates=1, batch_size=32, clip_grad=0.5, data_size=60000, device=device(type='cpu'), epochs=100, lr=0.001, mc_samples=20, mcvi=False, no_mc=False, reshape=True, test_batch_size=32, use_samples=False, var1=False, var2=False, var3=False, warmup_updates=0, zm=False)
LinearVariance(
  (fc1): DeterministicGaussian(in_features=784, out_features=300)
  (fc2): DeterministicReluGaussian(in_features=300, out_features=100)
  (fc3): DeterministicReluGaussian(in_features=100, out_features=10)
)
  epoch         kl     tr_elbo    tr_acc    tr_ll    tr_time    te_acc_mcvi    te_time_mcvi    te_acc_dvi    te_acc_samples    te_time_dvi
-------  ---------  ----------  --------  -------  ---------  -------------  --------------  ------------  ----------------  -------------
      0  0.000e+00  -2.029e-01    0.9415   -0.203    188.625         0.9687         180.068        0.9682            0.8521         17.637
      1  0.000e+00  -9.144e-02    0.9730   -0.091    184.068         0.9743         171.928        0.9743            0.8483         17.663
      2  0.000e+00  -6.423e-02    0.9816   -0.064    187.674         0.9747         178.658        0.9748            0.8325         17.787
      3  0.000e+00  -4.983e-02    0.9854   -0.050    186.720         0.9774         177.595        0.9778            0.8410         17.742
      4  0.000e+00  -4.274e-02    0.9872   -0.043    185.437         0.9757         179.067        0.9760            0.8267         17.601
      5  0.000e+00  -3.407e-02    0.9899   -0.034    186.615         0.9749         178.953        0.9756            0.8334         17.665
      6  0.000e+00  -3.160e-02    0.9904   -0.032    190.121         0.9781         180.179        0.9786            0.8326         17.681
      7  0.000e+00  -2.556e-02    0.9925   -0.026    186.861         0.9729         178.637        0.9735            0.8389         17.845
      8  0.000e+00  -2.303e-02    0.9932   -0.023    215.589         0.9766         197.946        0.9767            0.8241         19.455
      9  0.000e+00  -2.173e-02    0.9937   -0.022    215.479         0.9760         193.208        0.9757            0.8106         20.170
     10  0.000e+00  -2.289e-02    0.9939   -0.023    209.599         0.9795         188.884        0.9792            0.8161         18.537
     11  0.000e+00  -1.862e-02    0.9950   -0.019    208.033         0.9745         191.598        0.9751            0.8224         18.862
     12  0.000e+00  -1.915e-02    0.9950   -0.019    211.567         0.9786         189.900        0.9784            0.8051         19.563
     13  0.000e+00  -1.970e-02    0.9950   -0.020    206.910         0.9778         191.746        0.9778            0.8125         19.483
     14  0.000e+00  -1.729e-02    0.9954   -0.017    208.787         0.9763         192.592        0.9761            0.8141         20.995
     15  0.000e+00  -1.790e-02    0.9956   -0.018    208.491         0.9729         189.582        0.9731            0.7957         19.699
     16  0.000e+00  -1.249e-02    0.9968   -0.012    206.209         0.9781         189.431        0.9776            0.8187         19.232
     17  0.000e+00  -1.616e-02    0.9958   -0.016    210.200         0.9774         191.485        0.9775            0.8108         19.441
     18  0.000e+00  -1.683e-02    0.9961   -0.017    207.854         0.9790         189.796        0.9782            0.8195         21.568
     19  0.000e+00  -1.235e-02    0.9971   -0.012    210.189         0.9793         194.329        0.9789            0.8007         19.716
     20  0.000e+00  -1.769e-02    0.9960   -0.018    207.225         0.9767         195.344        0.9768            0.8149         20.463
     21  0.000e+00  -1.265e-02    0.9968   -0.013    198.891         0.9749         184.207        0.9739            0.7990         18.600
     22  0.000e+00  -1.257e-02    0.9967   -0.013    198.609         0.9771         179.552        0.9769            0.8187         18.823
     23  0.000e+00  -1.474e-02    0.9971   -0.015    195.249         0.9770         148.231        0.9770            0.8151         18.305
     24  0.000e+00  -1.346e-02    0.9970   -0.013    152.792         0.9779         146.594        0.9787            0.8197         14.603
     25  0.000e+00  -1.182e-02    0.9974   -0.012    152.414         0.9740         146.458        0.9735            0.8106         14.607
     26  0.000e+00  -1.371e-02    0.9973   -0.014    153.056         0.9782         148.748        0.9787            0.8197         14.446
     27  0.000e+00  -1.573e-02    0.9968   -0.016    151.879         0.9771         147.447        0.9771            0.8148         14.655
     28  0.000e+00  -1.265e-02    0.9972   -0.013    153.180         0.9770         147.928        0.9771            0.8075         14.587
     29  0.000e+00  -1.382e-02    0.9971   -0.014    113.579         0.9782         107.950        0.9785            0.8189         10.553
     30  0.000e+00  -1.284e-02    0.9972   -0.013    109.069         0.9809         110.359        0.9802            0.8087         10.652
     31  0.000e+00  -1.030e-02    0.9978   -0.010    111.757         0.9802         114.036        0.9802            0.8118         10.308
     32  0.000e+00  -1.492e-02    0.9970   -0.015    113.086         0.9785         112.029        0.9790            0.8286         10.635
