Namespace(anneal_updates=1, batch_size=32, clip_grad=0.5, data_size=60000, device=device(type='cpu'), epochs=100, lr=0.001, mc_samples=20, mcvi=False, no_mc=False, reshape=True, test_batch_size=32, use_samples=False, var1=False, var2=False, var3=False, warmup_updates=0, zm=False)
LinearVariance(
  (fc1): DeterministicGaussian(in_features=784, out_features=300)
  (fc2): DeterministicReluGaussian(in_features=300, out_features=100)
  (fc3): DeterministicReluGaussian(in_features=100, out_features=10)
)
  epoch         kl     tr_elbo    tr_acc    tr_ll    tr_time    te_acc_mcvi    te_time_mcvi    te_acc_dvi    te_acc_samples    te_time_dvi
-------  ---------  ----------  --------  -------  ---------  -------------  --------------  ------------  ----------------  -------------
      0  0.000e+00  -1.988e-01    0.9427   -0.199    124.034         0.9630         117.240        0.9632            0.8452         12.633
      1  0.000e+00  -8.914e-02    0.9743   -0.089    123.505         0.9717         122.621        0.9719            0.8340         11.760
      2  0.000e+00  -6.633e-02    0.9807   -0.066    120.902         0.9712         113.054        0.9712            0.8136         11.547
      3  0.000e+00  -4.980e-02    0.9852   -0.050    118.554         0.9734         112.551        0.9733            0.8299         11.408
      4  0.000e+00  -4.031e-02    0.9877   -0.040    120.249         0.9778         124.048        0.9780            0.8207         11.878
      5  0.000e+00  -3.412e-02    0.9897   -0.034    120.841         0.9754         113.935        0.9755            0.8128         11.684
      6  0.000e+00  -3.067e-02    0.9912   -0.031    115.459         0.9759         111.764        0.9762            0.7960         10.954
      7  0.000e+00  -2.702e-02    0.9923   -0.027    115.553         0.9741         115.682        0.9744            0.7989         11.790
      8  0.000e+00  -2.308e-02    0.9934   -0.023    115.772         0.9755         112.822        0.9761            0.7772         10.945
      9  0.000e+00  -2.214e-02    0.9941   -0.022    122.860         0.9779         112.584        0.9779            0.7894         11.871
     10  0.000e+00  -1.953e-02    0.9946   -0.020    116.286         0.9800         111.061        0.9802            0.7949         10.484
     11  0.000e+00  -2.332e-02    0.9938   -0.023    112.083         0.9770         112.372        0.9771            0.7898         11.266
     12  0.000e+00  -1.717e-02    0.9956   -0.017    115.660         0.9737         113.971        0.9735            0.7877         12.090
     13  0.000e+00  -1.803e-02    0.9951   -0.018    115.503         0.9752         110.877        0.9750            0.8188         11.043
     14  0.000e+00  -1.673e-02    0.9955   -0.017    114.943         0.9773         112.518        0.9773            0.7977         11.830
     15  0.000e+00  -1.508e-02    0.9961   -0.015    116.390         0.9772         114.652        0.9774            0.8275         12.592
     16  0.000e+00  -1.623e-02    0.9962   -0.016    119.759         0.9784         122.908        0.9783            0.7956         11.948
     17  0.000e+00  -1.382e-02    0.9963   -0.014    121.175         0.9761         115.577        0.9757            0.7986         12.451
     18  0.000e+00  -1.422e-02    0.9961   -0.014    125.866         0.9751         130.469        0.9753            0.8024         15.114
     19  0.000e+00  -1.363e-02    0.9968   -0.014    118.367         0.9796         113.653        0.9794            0.7934         11.412
     20  0.000e+00  -1.647e-02    0.9960   -0.016    111.882         0.9784         106.600        0.9782            0.7890         12.880
     21  0.000e+00  -1.460e-02    0.9965   -0.015    113.023         0.9783         109.466        0.9783            0.7958         10.836
     22  0.000e+00  -1.465e-02    0.9969   -0.015    110.078         0.9796         123.047        0.9796            0.7880         10.964
     23  0.000e+00  -1.354e-02    0.9968   -0.014    129.972         0.9786         108.840        0.9783            0.7775         10.625
     24  0.000e+00  -1.158e-02    0.9970   -0.012    110.578         0.9804         109.656        0.9806            0.8051         10.813
     25  0.000e+00  -1.281e-02    0.9973   -0.013    111.573         0.9782         107.295        0.9782            0.8032         10.830
     26  0.000e+00  -1.459e-02    0.9968   -0.015    111.822         0.9774         109.878        0.9775            0.7975         10.794
     27  0.000e+00  -1.216e-02    0.9977   -0.012    111.651         0.9779         109.881        0.9777            0.8048         10.577
     28  0.000e+00  -1.237e-02    0.9973   -0.012    110.671         0.9800         105.116        0.9803            0.8029         12.223
     29  0.000e+00  -1.094e-02    0.9978   -0.011    112.351         0.9796         109.181        0.9795            0.8095         11.013
     30  0.000e+00  -1.309e-02    0.9976   -0.013    113.564         0.9751         107.228        0.9752            0.7930         11.010
     31  0.000e+00  -1.302e-02    0.9970   -0.013    114.816         0.9791         108.495        0.9789            0.7908         10.917
     32  0.000e+00  -9.974e-03    0.9979   -0.010    111.920         0.9768         108.908        0.9769            0.7854         10.623
     33  0.000e+00  -1.231e-02    0.9973   -0.012    110.835         0.9774         110.025        0.9772            0.7936         10.588
     34  0.000e+00  -1.392e-02    0.9973   -0.014    111.962         0.9807         108.365        0.9805            0.7961         10.803
     35  0.000e+00  -1.248e-02    0.9980   -0.012    111.185         0.9779         109.821        0.9772            0.8109         11.596
     36  0.000e+00  -1.170e-02    0.9978   -0.012    114.581         0.9792         107.949        0.9792            0.7936         11.351
     37  0.000e+00  -1.331e-02    0.9976   -0.013    108.805         0.9792         107.777        0.9793            0.8049         10.272
     38  0.000e+00  -1.426e-02    0.9978   -0.014    108.824         0.9789         109.837        0.9790            0.8160         10.387
     39  0.000e+00  -9.524e-03    0.9980   -0.010    110.205         0.9800         105.681        0.9796            0.8170         10.624
     40  0.000e+00  -1.204e-02    0.9977   -0.012    110.906         0.9798         107.859        0.9801            0.8270         10.466
     41  0.000e+00  -9.355e-03    0.9983   -0.009    110.784         0.9805         107.509        0.9809            0.8180         10.624
     42  0.000e+00  -1.320e-02    0.9977   -0.013    106.117         0.9786         110.452        0.9785            0.8285         10.557
     43  0.000e+00  -9.432e-03    0.9983   -0.009    112.181         0.9796        1025.951        0.9789            0.8202         11.050
     44  0.000e+00  -1.426e-02    0.9978   -0.014    112.644         0.9809         106.204        0.9799            0.8250         10.692
     45  0.000e+00  -7.964e-03    0.9988   -0.008    115.778         0.9797         182.941        0.9792            0.8202         11.285
     46  0.000e+00  -1.353e-02    0.9980   -0.014    215.671         0.9798         112.723        0.9796            0.8240         15.379
