t,kl,tr_elbo,tr_acc,tr_ll,tr_time,te_acc_mcvi,te_time_mcvi,te_acc_dvi,te_acc_samples,te_time_dvi
0,0.0,-0.2087723512450854,0.9399833333333333,-0.2087723512450854,107.84365916252136,0.9606629392971247,107.84422492980957,0.9602635782747604,0.8314696485623003,10.673350095748901
1,0.0,-0.09190573765436809,0.9733166666666667,-0.09190573765436809,126.98879384994507,0.9712460063897763,113.09508776664734,0.9714456869009584,0.8331669329073482,11.133548021316528
2,0.0,-0.06774667218526205,0.9801333333333333,-0.06774667218526205,117.6543869972229,0.9680511182108626,118.01799297332764,0.9688498402555911,0.8288738019169329,13.730116128921509
3,0.0,-0.0502867739657561,0.9852666666666666,-0.0502867739657561,127.06249022483826,0.9749400958466453,117.3243350982666,0.9748402555910544,0.823582268370607,11.975903272628784
4,0.0,-0.04145892548163732,0.9874,-0.04145892548163732,129.02560091018677,0.9728434504792333,119.46528482437134,0.9725439297124601,0.8160942492012779,13.036827325820923
5,0.0,-0.03398194350004196,0.9903666666666666,-0.03398194350004196,124.47771000862122,0.9770367412140575,124.7220950126648,0.9769369009584664,0.8124001597444089,11.681847095489502
6,0.0,-0.03236189553340276,0.9905666666666667,-0.03236189553340276,123.96722388267517,0.977935303514377,126.4159631729126,0.978035143769968,0.8159944089456869,11.94634222984314
7,0.0,-0.027179623663425447,0.9917666666666667,-0.027179623663425447,127.57158589363098,0.9729432907348243,130.993008852005,0.9726437699680511,0.8034145367412141,12.168706178665161
8,0.0,-0.022674152171611787,0.9932833333333333,-0.022674152171611787,131.98244261741638,0.9750399361022364,128.93577313423157,0.9757388178913738,0.8153953674121406,12.335945844650269
9,0.0,-0.02568429651260376,0.9925666666666667,-0.02568429651260376,124.12599110603333,0.9767372204472844,128.09534430503845,0.9770367412140575,0.7982228434504792,11.97965693473816
10,0.0,-0.020024536506334942,0.9943833333333333,-0.020024536506334942,124.8370749950409,0.9782348242811502,128.48301529884338,0.9783346645367412,0.8191892971246006,12.061096906661987
11,0.0,-0.017655722463130952,0.9947833333333334,-0.017655722463130952,131.3970010280609,0.978035143769968,128.1160590648651,0.9784345047923323,0.8121006389776357,12.494568109512329
12,0.0,-0.01925171030362447,0.9945833333333334,-0.01925171030362447,129.3178722858429,0.9806309904153354,124.96530890464783,0.9808306709265175,0.7968250798722045,12.014945030212402
13,0.0,-0.017401452495654425,0.9953333333333333,-0.017401452495654425,130.59837698936462,0.9771365814696485,122.90670084953308,0.9776357827476039,0.7952276357827476,12.598708152770996
14,0.0,-0.016702682650089264,0.9956666666666667,-0.016702682650089264,125.71676802635193,0.9783346645367412,115.2369077205658,0.9782348242811502,0.8078075079872205,10.411261320114136
15,0.0,-0.01945937240322431,0.9950833333333333,-0.01945937240322431,111.63057899475098,0.9754392971246006,110.66222310066223,0.9750399361022364,0.8030151757188498,10.84145998954773
16,0.0,-0.013433971899747849,0.9965666666666667,-0.013433971899747849,114.43397188186646,0.9789337060702875,110.70763301849365,0.9790335463258786,0.8302715654952076,10.515867948532104
17,0.0,-0.015274078605572382,0.9962333333333333,-0.015274078605572382,111.1649580001831,0.9766373801916933,110.94857120513916,0.9767372204472844,0.8099041533546326,10.615637063980103
18,0.0,-0.014253196036815644,0.99645,-0.014253196036815644,113.12916898727417,0.9791333865814696,112.13549184799194,0.9789337060702875,0.8112020766773163,10.480175018310547
19,0.0,-0.015217699686686199,0.9961,-0.015217699686686199,114.19459295272827,0.978035143769968,110.04882311820984,0.9776357827476039,0.8050119808306709,11.38083291053772
