Namespace(anneal_updates=1, batch_size=32, clip_grad=0.5, data_size=60000, device=device(type='cpu'), epochs=20, lr=0.001, mc_samples=20, mcvi=False, no_mc=False, reshape=True, test_batch_size=32, use_samples=False, var1=False, var2=False, var3=False, warmup_updates=0, zm=False)
LinearVariance(
  (fc1): DeterministicGaussian(in_features=784, out_features=300)
  (fc2): DeterministicReluGaussian(in_features=300, out_features=100)
  (fc3): DeterministicReluGaussian(in_features=100, out_features=10)
)
  epoch         kl     tr_elbo    tr_acc    tr_ll    tr_time    te_acc_mcvi    te_time_mcvi    te_acc_dvi    te_acc_samples    te_time_dvi
-------  ---------  ----------  --------  -------  ---------  -------------  --------------  ------------  ----------------  -------------
      0  0.000e+00  -2.088e-01    0.9400   -0.209    107.844         0.9607         107.844        0.9603            0.8315         10.673
      1  0.000e+00  -9.191e-02    0.9733   -0.092    126.989         0.9712         113.095        0.9714            0.8332         11.134
      2  0.000e+00  -6.775e-02    0.9801   -0.068    117.654         0.9681         118.018        0.9688            0.8289         13.730
      3  0.000e+00  -5.029e-02    0.9853   -0.050    127.062         0.9749         117.324        0.9748            0.8236         11.976
      4  0.000e+00  -4.146e-02    0.9874   -0.041    129.026         0.9728         119.465        0.9725            0.8161         13.037
      5  0.000e+00  -3.398e-02    0.9904   -0.034    124.478         0.9770         124.722        0.9769            0.8124         11.682
      6  0.000e+00  -3.236e-02    0.9906   -0.032    123.967         0.9779         126.416        0.9780            0.8160         11.946
      7  0.000e+00  -2.718e-02    0.9918   -0.027    127.572         0.9729         130.993        0.9726            0.8034         12.169
      8  0.000e+00  -2.267e-02    0.9933   -0.023    131.982         0.9750         128.936        0.9757            0.8154         12.336
      9  0.000e+00  -2.568e-02    0.9926   -0.026    124.126         0.9767         128.095        0.9770            0.7982         11.980
     10  0.000e+00  -2.002e-02    0.9944   -0.020    124.837         0.9782         128.483        0.9783            0.8192         12.061
     11  0.000e+00  -1.766e-02    0.9948   -0.018    131.397         0.9780         128.116        0.9784            0.8121         12.495
     12  0.000e+00  -1.925e-02    0.9946   -0.019    129.318         0.9806         124.965        0.9808            0.7968         12.015
     13  0.000e+00  -1.740e-02    0.9953   -0.017    130.598         0.9771         122.907        0.9776            0.7952         12.599
     14  0.000e+00  -1.670e-02    0.9957   -0.017    125.717         0.9783         115.237        0.9782            0.8078         10.411
     15  0.000e+00  -1.946e-02    0.9951   -0.019    111.631         0.9754         110.662        0.9750            0.8030         10.841
     16  0.000e+00  -1.343e-02    0.9966   -0.013    114.434         0.9789         110.708        0.9790            0.8303         10.516
     17  0.000e+00  -1.527e-02    0.9962   -0.015    111.165         0.9766         110.949        0.9767            0.8099         10.616
     18  0.000e+00  -1.425e-02    0.9964   -0.014    113.129         0.9791         112.135        0.9789            0.8112         10.480
     19  0.000e+00  -1.522e-02    0.9961   -0.015    114.195         0.9780         110.049        0.9776            0.8050         11.381
The log/output/model have been saved to: ./logs/scripts-fc-variance.py-lenet-variance-03-06-19-35-vszop + .csv/.out/.cpt
