t,ELBO,ll,kl,lmbda
0,-1.4059373140335083,-1.4059373140335083,92.61800384521484,0.0
20,-1.1339735984802246,-1.1339735984802246,92.95873260498047,0.0
40,-0.5579124093055725,-0.5579124093055725,93.26306915283203,0.0
60,-0.3930508494377136,-0.3930508494377136,93.58554077148438,0.0
80,-0.25193774700164795,-0.25193774700164795,93.9554672241211,0.0
100,0.02737358585000038,0.02737358585000038,94.51129150390625,0.0
120,0.29818153381347656,0.29818153381347656,95.20893096923828,0.0
140,0.396416038274765,0.396416038274765,95.77361297607422,0.0
160,0.4595087468624115,0.4595087468624115,96.1966781616211,0.0
180,0.5057748556137085,0.5057748556137085,96.58807373046875,0.0
200,0.5440830588340759,0.5440830588340759,96.95635986328125,0.0
220,0.5764539837837219,0.5764539837837219,97.29704284667969,0.0
240,0.6047254204750061,0.6047254204750061,97.61062622070312,0.0
260,0.6303234100341797,0.6303234100341797,97.90042114257812,0.0
280,0.6532269716262817,0.6532269716262817,98.17357635498047,0.0
300,0.6715002655982971,0.6715002655982971,98.43045806884766,0.0
320,0.6908493041992188,0.6908493041992188,98.67481231689453,0.0
340,0.7035157680511475,0.7035157680511475,98.90544128417969,0.0
360,0.7191954851150513,0.7191954851150513,99.1302261352539,0.0
380,0.7305576205253601,0.7305576205253601,99.34742736816406,0.0
400,0.7432937622070312,0.7432937622070312,99.55865478515625,0.0
420,0.7556645274162292,0.7556645274162292,99.76350402832031,0.0
440,0.7638950347900391,0.7638950347900391,99.95877838134766,0.0
460,0.7726569771766663,0.7726569771766663,100.14403533935547,0.0
480,0.7799869775772095,0.7799869775772095,100.32499694824219,0.0
500,0.7858927845954895,0.7858927845954895,100.49783325195312,0.0
520,0.7922453880310059,0.7922453880310059,100.66282653808594,0.0
540,0.7979758381843567,0.7979758381843567,100.8204574584961,0.0
560,0.8033078908920288,0.8033078908920288,100.9711685180664,0.0
580,0.8080328702926636,0.8080328702926636,101.114990234375,0.0
600,0.8134819865226746,0.8134819865226746,101.25251007080078,0.0
620,0.8177530169487,0.8177530169487,101.38324737548828,0.0
640,0.8216869235038757,0.8216869235038757,101.50934600830078,0.0
660,0.8265730142593384,0.8265730142593384,101.63259887695312,0.0
680,0.8299830555915833,0.8299830555915833,101.75257873535156,0.0
700,0.8327509164810181,0.8327509164810181,101.86907958984375,0.0
720,0.8355174660682678,0.8355174660682678,101.98217010498047,0.0
740,0.838128387928009,0.838128387928009,102.09226989746094,0.0
760,0.840586245059967,0.840586245059967,102.19961547851562,0.0
780,0.8429943919181824,0.8429943919181824,102.30435180664062,0.0
800,0.8453068137168884,0.8453068137168884,102.40686798095703,0.0
820,0.847519040107727,0.847519040107727,102.50784301757812,0.0
840,0.8498076796531677,0.8498076796531677,102.60720825195312,0.0
860,0.851958155632019,0.851958155632019,102.7048110961914,0.0
880,0.8540939688682556,0.8540939688682556,102.80087280273438,0.0
900,0.8562783598899841,0.8562783598899841,102.89537048339844,0.0
920,0.8582793474197388,0.8582793474197388,102.98810577392578,0.0
940,0.8601351976394653,0.8601351976394653,103.07933044433594,0.0
960,0.8618955612182617,0.8618955612182617,103.1691665649414,0.0
980,0.8635632991790771,0.8635632991790771,103.2574691772461,0.0
1000,0.8652383089065552,0.8652383089065552,103.34417724609375,0.0
1020,0.8963635563850403,0.8963635563850403,103.39411163330078,0.0
1040,0.847993791103363,0.847993791103363,103.43079376220703,0.0
1060,0.8625989556312561,0.8625989556312561,103.47235107421875,0.0
1080,0.8742095232009888,0.8742095232009888,103.51216125488281,0.0
1100,0.8730870485305786,0.8730870485305786,103.55030822753906,0.0
1120,0.8764225840568542,0.8764225840568542,103.58729553222656,0.0
1140,0.8774045705795288,0.8774045705795288,103.62480163574219,0.0
1160,0.879206657409668,0.879206657409668,103.66351318359375,0.0
1180,0.879785418510437,0.879785418510437,103.70268249511719,0.0
1200,0.8813060522079468,0.8813060522079468,103.74189758300781,0.0
1220,0.8824336528778076,0.8824336528778076,103.78111267089844,0.0
1240,0.883206844329834,0.883206844329834,103.82038116455078,0.0
1260,0.8840904831886292,0.8840904831886292,103.8598861694336,0.0
1280,0.8848634362220764,0.8848634362220764,103.89968872070312,0.0
1300,0.8856585025787354,0.8856585025787354,103.93983459472656,0.0
1320,0.886399507522583,0.886399507522583,103.98038482666016,0.0
1340,0.8870859742164612,0.8870859742164612,104.02133178710938,0.0
1360,0.8877161741256714,0.8877161741256714,104.06268310546875,0.0
1380,0.8883642554283142,0.8883642554283142,104.1044921875,0.0
1400,0.8889630436897278,0.8889630436897278,104.1467056274414,0.0
1420,0.8896433115005493,0.8896433115005493,104.18928527832031,0.0
1440,0.8902400135993958,0.8902400135993958,104.23222351074219,0.0
1460,0.8909101486206055,0.8909101486206055,104.27540588378906,0.0
1480,0.8915604948997498,0.8915604948997498,104.31878662109375,0.0
1500,0.8922569155693054,0.8922569155693054,104.36214447021484,0.0
1520,0.8928899168968201,0.8928899168968201,104.40546417236328,0.0
1540,0.8934850096702576,0.8934850096702576,104.44876098632812,0.0
1560,0.8940687775611877,0.8940687775611877,104.49197387695312,0.0
1580,0.8946734070777893,0.8946734070777893,104.53516387939453,0.0
1600,0.8953049778938293,0.8953049778938293,104.57833862304688,0.0
1620,0.8957420587539673,0.8957420587539673,104.62140655517578,0.0
1640,0.8961694836616516,0.8961694836616516,104.6644058227539,0.0
1660,0.896625280380249,0.896625280380249,104.7073745727539,0.0
1680,0.8970914483070374,0.8970914483070374,104.75022888183594,0.0
1700,0.8975546360015869,0.8975546360015869,104.79297637939453,0.0
1720,0.8980135321617126,0.8980135321617126,104.83552551269531,0.0
1740,0.8984709978103638,0.8984709978103638,104.87793731689453,0.0
1760,0.8989263772964478,0.8989263772964478,104.92015838623047,0.0
1780,0.8993809223175049,0.8993809223175049,104.96221923828125,0.0
1800,0.8998358845710754,0.8998358845710754,105.00408935546875,0.0
1820,0.9002872705459595,0.9002872705459595,105.04579162597656,0.0
