Namespace(anneal_updates=1000, batch_size=500, data_size=500, device='mps', draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=False, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
Model(
  (linear): LinearGaussian(in_features=1, out_features=128)
  (relu1): ReluGaussian(in_features=128, out_features=128)
  (out): ReluGaussian(in_features=128, out_features=2)
)
  epoch        ELBO       ll         kl    lmbda
-------  ----------  -------  ---------  -------
      0  -1.406e+00  -1.4059  9.262e+01   0.0000
     20  -1.134e+00  -1.1340  9.296e+01   0.0000
     40  -5.579e-01  -0.5579  9.326e+01   0.0000
     60  -3.931e-01  -0.3931  9.359e+01   0.0000
     80  -2.519e-01  -0.2519  9.396e+01   0.0000
    100  2.737e-02  0.0274  9.451e+01   0.0000
    120  2.982e-01  0.2982  9.521e+01   0.0000
    140  3.964e-01  0.3964  9.577e+01   0.0000
    160  4.595e-01  0.4595  9.620e+01   0.0000
    180  5.058e-01  0.5058  9.659e+01   0.0000
    200  5.441e-01  0.5441  9.696e+01   0.0000
    220  5.765e-01  0.5765  9.730e+01   0.0000
    240  6.047e-01  0.6047  9.761e+01   0.0000
    260  6.303e-01  0.6303  9.790e+01   0.0000
    280  6.532e-01  0.6532  9.817e+01   0.0000
    300  6.715e-01  0.6715  9.843e+01   0.0000
    320  6.908e-01  0.6908  9.867e+01   0.0000
    340  7.035e-01  0.7035  9.891e+01   0.0000
    360  7.192e-01  0.7192  9.913e+01   0.0000
    380  7.306e-01  0.7306  9.935e+01   0.0000
    400  7.433e-01  0.7433  9.956e+01   0.0000
    420  7.557e-01  0.7557  9.976e+01   0.0000
    440  7.639e-01  0.7639  9.996e+01   0.0000
    460  7.727e-01  0.7727  1.001e+02   0.0000
    480  7.800e-01  0.7800  1.003e+02   0.0000
    500  7.859e-01  0.7859  1.005e+02   0.0000
    520  7.922e-01  0.7922  1.007e+02   0.0000
    540  7.980e-01  0.7980  1.008e+02   0.0000
    560  8.033e-01  0.8033  1.010e+02   0.0000
    580  8.080e-01  0.8080  1.011e+02   0.0000
    600  8.135e-01  0.8135  1.013e+02   0.0000
    620  8.178e-01  0.8178  1.014e+02   0.0000
    640  8.217e-01  0.8217  1.015e+02   0.0000
    660  8.266e-01  0.8266  1.016e+02   0.0000
    680  8.300e-01  0.8300  1.018e+02   0.0000
    700  8.328e-01  0.8328  1.019e+02   0.0000
    720  8.355e-01  0.8355  1.020e+02   0.0000
    740  8.381e-01  0.8381  1.021e+02   0.0000
    760  8.406e-01  0.8406  1.022e+02   0.0000
    780  8.430e-01  0.8430  1.023e+02   0.0000
    800  8.453e-01  0.8453  1.024e+02   0.0000
    820  8.475e-01  0.8475  1.025e+02   0.0000
    840  8.498e-01  0.8498  1.026e+02   0.0000
    860  8.520e-01  0.8520  1.027e+02   0.0000
    880  8.541e-01  0.8541  1.028e+02   0.0000
    900  8.563e-01  0.8563  1.029e+02   0.0000
    920  8.583e-01  0.8583  1.030e+02   0.0000
    940  8.601e-01  0.8601  1.031e+02   0.0000
    960  8.619e-01  0.8619  1.032e+02   0.0000
    980  8.636e-01  0.8636  1.033e+02   0.0000
   1000  8.652e-01  0.8652  1.033e+02   0.0000
   1020  8.964e-01  0.8964  1.034e+02   0.0000
   1040  8.480e-01  0.8480  1.034e+02   0.0000
