Namespace(anneal_updates=1000, batch_size=500, data_size=500, device=device(type='cpu'), draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=True, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
  epoch        ELBO       ll         kl    lmbda
-------  ----------  -------  ---------  -------
      0  -6.911e+00  -6.9114  9.263e+01   0.0000
     20  -7.943e-01  -0.7943  9.295e+01   0.0000
     40  -7.141e-01  -0.7141  9.326e+01   0.0000
     60  -4.184e-01  -0.4184  9.368e+01   0.0000
     80  -2.309e-01  -0.2309  9.417e+01   0.0000
    100  -7.612e-02  -0.0761  9.472e+01   0.0000
    120  3.295e-02  0.0330  9.529e+01   0.0000
    140  1.105e-01  0.1105  9.578e+01   0.0000
    160  1.717e-01  0.1717  9.616e+01   0.0000
    180  2.060e-01  0.2060  9.647e+01   0.0000
    200  2.381e-01  0.2381  9.673e+01   0.0000
    220  2.606e-01  0.2606  9.696e+01   0.0000
    240  2.820e-01  0.2820  9.719e+01   0.0000
    260  3.012e-01  0.3012  9.739e+01   0.0000
    280  3.170e-01  0.3170  9.758e+01   0.0000
    300  3.321e-01  0.3321  9.775e+01   0.0000
    320  3.447e-01  0.3447  9.792e+01   0.0000
    340  3.569e-01  0.3569  9.808e+01   0.0000
    360  3.686e-01  0.3686  9.823e+01   0.0000
    380  3.795e-01  0.3795  9.838e+01   0.0000
    400  3.892e-01  0.3892  9.852e+01   0.0000
    420  3.984e-01  0.3984  9.865e+01   0.0000
    440  4.067e-01  0.4067  9.878e+01   0.0000
    460  4.204e-01  0.4204  9.890e+01   0.0000
    480  4.255e-01  0.4255  9.902e+01   0.0000
    500  4.321e-01  0.4321  9.913e+01   0.0000
    520  4.366e-01  0.4366  9.924e+01   0.0000
    540  4.410e-01  0.4410  9.935e+01   0.0000
    560  4.446e-01  0.4446  9.945e+01   0.0000
    580  4.483e-01  0.4483  9.954e+01   0.0000
    600  4.515e-01  0.4515  9.963e+01   0.0000
    620  4.543e-01  0.4543  9.972e+01   0.0000
    640  4.571e-01  0.4571  9.981e+01   0.0000
    660  4.597e-01  0.4597  9.989e+01   0.0000
    680  4.627e-01  0.4627  9.998e+01   0.0000
    700  4.649e-01  0.4649  1.001e+02   0.0000
    720  4.678e-01  0.4678  1.001e+02   0.0000
    740  4.699e-01  0.4699  1.002e+02   0.0000
    760  4.727e-01  0.4727  1.003e+02   0.0000
    780  4.751e-01  0.4751  1.004e+02   0.0000
    800  4.776e-01  0.4776  1.004e+02   0.0000
    820  4.799e-01  0.4799  1.005e+02   0.0000
    840  4.821e-01  0.4821  1.006e+02   0.0000
    860  4.842e-01  0.4842  1.007e+02   0.0000
    880  4.865e-01  0.4865  1.007e+02   0.0000
    900  4.884e-01  0.4884  1.008e+02   0.0000
    920  4.905e-01  0.4905  1.009e+02   0.0000
    940  4.919e-01  0.4919  1.009e+02   0.0000
    960  4.944e-01  0.4944  1.010e+02   0.0000
    980  4.949e-01  0.4949  1.010e+02   0.0000
   1000  4.985e-01  0.4985  1.011e+02   0.0000
   1020  -3.166e-01  -0.3166  1.012e+02   0.0000
   1040  1.636e-01  0.1636  1.012e+02   0.0000
   1060  5.004e-01  0.5004  1.012e+02   0.0000
   1080  5.833e-01  0.5833  1.013e+02   0.0000
   1100  2.545e-01  0.2545  1.013e+02   0.0000
   1120  5.089e-01  0.5089  1.013e+02   0.0000
   1140  5.979e-01  0.5979  1.014e+02   0.0000
   1160  2.592e-01  0.2592  1.014e+02   0.0000
   1180  5.098e-01  0.5098  1.015e+02   0.0000
   1200  5.978e-01  0.5978  1.015e+02   0.0000
   1220  2.563e-01  0.2563  1.015e+02   0.0000
   1240  5.083e-01  0.5083  1.016e+02   0.0000
   1260  5.985e-01  0.5985  1.016e+02   0.0000
   1280  2.540e-01  0.2540  1.017e+02   0.0000
   1300  5.074e-01  0.5074  1.017e+02   0.0000
   1320  5.991e-01  0.5991  1.017e+02   0.0000
   1340  2.516e-01  0.2516  1.018e+02   0.0000
   1360  5.060e-01  0.5060  1.018e+02   0.0000
   1380  5.986e-01  0.5986  1.019e+02   0.0000
   1400  2.456e-01  0.2456  1.019e+02   0.0000
   1420  5.043e-01  0.5043  1.019e+02   0.0000
   1440  5.983e-01  0.5983  1.020e+02   0.0000
   1460  2.422e-01  0.2422  1.020e+02   0.0000
   1480  5.044e-01  0.5044  1.021e+02   0.0000
   1500  5.988e-01  0.5988  1.021e+02   0.0000
   1520  2.391e-01  0.2391  1.022e+02   0.0000
   1540  5.031e-01  0.5031  1.022e+02   0.0000
   1560  5.996e-01  0.5996  1.022e+02   0.0000
   1580  2.359e-01  0.2359  1.023e+02   0.0000
   1600  5.030e-01  0.5030  1.023e+02   0.0000
   1620  6.017e-01  0.6017  1.024e+02   0.0000
   1640  2.350e-01  0.2350  1.024e+02   0.0000
   1660  5.046e-01  0.5046  1.025e+02   0.0000
   1680  6.030e-01  0.6030  1.025e+02   0.0000
   1700  2.324e-01  0.2324  1.025e+02   0.0000
   1720  5.051e-01  0.5051  1.026e+02   0.0000
   1740  6.040e-01  0.6040  1.026e+02   0.0000
   1760  2.313e-01  0.2313  1.027e+02   0.0000
   1780  5.052e-01  0.5052  1.027e+02   0.0000
   1800  6.041e-01  0.6041  1.028e+02   0.0000
   1820  2.294e-01  0.2294  1.028e+02   0.0000
   1840  5.032e-01  0.5032  1.029e+02   0.0000
   1860  6.043e-01  0.6043  1.029e+02   0.0000
   1880  2.250e-01  0.2250  1.030e+02   0.0000
